,c6912,c6939,c6910,c6916,c6914,c6915,c6930,c6937,c6938,c6913,c7241,c7240,c7243,c7242,c7245,c7244,c6901,c6903,c6902,c6905,c6904,c6929,c6906,c6909,c6908,c6948,c6945,c6944,c6941,c6940,c6943,c6942
2017-07-03 14:25:00,6180388864.0,6172857139.2,6184366899.2,6171445657.6,6166439526.4,6173049651.2,6167243980.8,6181564416.0,6165900492.8,6178506342.4,6333457203.2,6331083161.6,6327282073.6,6332721561.6,6336374374.4,6337250918.4,6136678809.6,6177924710.4,6175818547.2,6179187097.6,6175152537.6,6162658918.4,6182308249.6,6181447270.4,6175993036.8,6168106598.4,6178679193.6,6167854284.8,6168369561.6,6172407398.4,6178304000.0,6166390374.4
2017-07-03 14:30:00,6180211916.8,6173116006.4,6184688844.8,6171291648.0,6165861990.4,6172939059.2,6167339008.0,6181960089.6,6165719449.6,6178582528.0,6333303193.6,6331500134.4,6327692492.8,6332527411.2,6336285081.6,6337337753.6,6136792678.4,6178208153.6,6176296140.8,6179356672.0,6175024742.4,6163656704.0,6182724403.2,6182471270.4,6175710412.8,6168120524.8,6206819532.8,6168212275.2,6168391680.0,6172438528.0,6178467020.8,6166206054.4
2017-07-03 14:35:00,6179697459.2,6172598272.0,6183965491.2,6171027046.4,6165929164.8,6172745728.0,6166845849.6,6181304729.6,6165368012.8,6178173747.2,6332805939.2,6331258470.4,6327415603.2,6332450406.4,6336306380.8,6336887193.6,6136576409.6,6177844428.8,6176315801.6,6179024896.0,6174810112.0,6162839142.4,6182288588.8,6182312345.6,6175367987.2,6167751065.6,6178378547.2,6167728128.0,6168039424.0,6171928985.6,6177818214.4,6166052044.8
2017-07-03 14:40:00,6179956326.4,6172747366.4,6184273510.4,6171320320.0,6166276505.6,6173006233.6,6167211212.8,6181463654.4,6165267251.2,6179572121.6,6333211443.2,6331527987.2,6327665459.2,6333063168.0,6336455475.2,6337494220.8,6136836915.2,6177634713.6,6176137216.0,6178939699.2,6174799462.4,6163047219.2,6182218956.8,6182141132.8,6175368806.4,6167996825.6,6178327756.8,6167780556.8,6167867392.0,6172229632.0,6177879654.4,6166460006.4
2017-07-03 14:45:00,6179834265.6,6172644147.2,6184415232.0,6171527577.6,6166455910.4,6172944793.6,6167148134.4,6181625036.8,6165344256.0,6179990732.8,6333015654.4,6331622195.2,6327878451.2,6332977152.0,6336250675.2,6337233715.2,6136505139.2,6177680588.8,6176467353.6,6178722611.2,6174839603.2,6163089817.6,6182579404.8,6182979174.4,6175473664.0,6167659315.2,6178256486.4,6167483187.2,6167570022.4,6172042035.2,6178015641.6,6166106112.0
2017-07-03 14:50:00,6179855564.8,6172401664.0,6184071987.2,6171723366.4,6166563225.6,6173236428.8,6167267737.6,6181416140.8,6165425356.8,6180129177.6,6333364633.6,6331684454.4,6327898931.2,6332627353.6,6336342425.6,6337316454.4,6136660787.2,6177722368.0,6176509952.0,6178992947.2,6174808473.6,6163111116.8,6182434406.4,6183107788.8,6175269683.2,6167684710.4,6178395750.4,6167655219.2,6167708467.2,6172352512.0,6177728921.6,6166219161.6
2017-07-03 14:55:00,6179826073.6,6172572876.8,6183919616.0,6171127808.0,6166308454.4,6172993126.4,6167109632.0,6180955750.4,6165331148.8,6180043161.6,6333005004.8,6331351859.2,6327612211.2,6332535603.2,6336148275.2,6337096089.6,6136532172.8,6177465139.2,6176451788.8,6178870886.4,6174703616.0,6162776064.0,6182184550.4,6182798131.2,6175391744.0,6167538073.6,6178072985.6,6167341465.6,6167456153.6,6171949465.6,6177316864.0,6166150348.8
2017-07-03 15:00:00,6180251238.4,6174167040.0,6184418508.8,6171787264.0,6166962176.0,6173842636.8,6167800217.6,6181953536.0,6166056140.8,6180885299.2,6333789798.4,6332321792.0,6327640883.2,6332916531.2,6336888012.8,6338027520.0,6137110528.0,6178555494.4,6176781926.4,6179565568.0,6175616204.8,6163623116.8,6183153664.0,6182756352.0,6176119193.6,6168563712.0,6207489638.4,6168322867.2,6167932108.8,6173025894.4,6178726707.2,6166582067.2
2017-07-03 15:05:00,6179719577.6,6173683712.0,6184129331.2,6171290828.8,6166401024.0,6172972646.4,6167233331.2,6181217075.2,6165435187.2,6180282368.0,6333513728.0,6331913011.2,6327151820.8,6332606054.4,6336656998.4,6337309081.6,6137050726.4,6177811660.8,6176440320.0,6179377152.0,6175171379.2,6162672025.6,6183136460.8,6182222233.6,6175736627.2,6168034508.8,6178743091.2,6167804313.6,6167906713.6,6172682649.6,6177872281.6,6166066790.4
2017-07-03 15:10:00,6179721216.0,6173933568.0,6184144076.8,6171326054.4,6166287974.4,6172983296.0,6167382425.6,6180995891.2,6164994457.6,6179965337.6,6333590732.8,6332042444.8,6327652352.0,6332758425.6,6336612761.6,6337598259.2,6137115443.2,6177899315.2,6176191283.2,6178836480.0,6174997708.8,6162715443.2,6182522880.0,6182060851.2,6175820185.6,6168294195.2,6178918400.0,6167806771.2,6167626547.2,6172636774.4,6178050048.0,6165898854.4
2017-07-03 15:15:00,6180154572.8,6174146560.0,6184608563.2,6171201536.0,6166121676.8,6172823552.0,6167351296.0,6181305548.8,6165507276.8,6180297932.8,6333462118.4,6331949056.0,6327397580.8,6332379955.2,6336259686.4,6337351680.0,6136768921.6,6178052505.6,6177137459.2,6178703769.6,6174926438.4,6163119308.8,6182720307.2,6182101811.2,6175963545.6,6168420352.0,6179601612.8,6168009932.8,6167765811.2,6172320563.2,6178350694.4,6166682828.8
2017-07-03 15:20:00,6180419993.6,6174076928.0,6184479129.6,6171507097.6,6166395289.6,6173206937.6,6167699456.0,6181326848.0,6165671116.8,6180228300.8,6333484236.8,6331918745.6,6327382016.0,6332071116.8,6336593920.0,6337295155.2,6138014924.8,6178275328.0,6176941670.4,6178871705.6,6175069798.4,6163062784.0,6182794854.4,6182077235.2,6175837388.8,6167942758.4,6179352576.0,6168391680.0,6168035328.0,6172858777.6,6178061516.8,6166301900.8
2017-07-03 15:25:00,6180483891.2,6173954867.2,6184455372.8,6171503001.6,6166315008.0,6172898918.4,6167530700.8,6181249024.0,6165563801.6,6180465868.8,6333630873.6,6332346368.0,6327448371.2,6332320972.8,6336910950.4,6337430323.2,6142648320.0,6178177843.2,6176653312.0,6178970828.8,6175206604.8,6163170918.4,6182594150.4,6182109184.0,6176156057.6,6167770726.4,6179033088.0,6168236032.0,6168005836.8,6172550758.4,6177884569.6,6166571417.6
2017-07-03 15:30:00,6179828531.2,6174266982.4,6184044953.6,6171371929.6,6165915238.4,6173205299.2,6167482368.0,6181599641.6,6166051225.6,6180592025.6,6333830758.4,6332441395.2,6327710515.2,6333304012.8,6337221427.2,6337324646.4,6142749081.6,6178372812.8,6176718848.0,6178833203.2,6175485132.8,6163156172.8,6182766182.4,6182410649.6,6177007206.4,6167915724.8,6207090688.0,6168467865.6,6168189337.6,6173089792.0,6178558771.2,6166013542.4
2017-07-03 15:35:00,6179700736.0,6173880320.0,6183452672.0,6170910720.0,6166144614.4,6172846489.6,6167224320.0,6180927078.4,6165460582.4,6180295475.2,6333386752.0,6332082585.6,6327624499.2,6333225369.6,6337474560.0,6336760217.6,6142595072.0,6177850163.2,6176315801.6,6178281881.6,6175027200.0,6162859622.4,6182780928.0,6182431948.8,6176529612.8,6167718297.6,6178854502.4,6168249139.2,6167995187.2,6172615475.2,6178136064.0,6165648179.2
2017-07-03 15:40:00,6180115251.2,6173598515.2,6183647641.6,6171270348.8,6166358425.6,6172967731.2,6167136665.6,6180853350.4,6165311488.0,6180382310.4,6333923328.0,6332026880.0,6327587635.2,6333279436.8,6337635123.2,6336986316.8,6142224793.6,6177856716.8,6176252723.2,6178012364.8,6174991974.4,6162819481.6,6182290227.2,6182857113.6,6176434585.6,6167645388.8,6179406643.2,6168040243.2,6168088576.0,6172903833.6,6178022195.2,6165626880.0
2017-07-03 15:45:00,6179980083.2,6173906534.4,6184331673.6,6171435827.2,6166528000.0,6173146316.8,6167126835.2,6181202329.6,6165473689.6,6180202905.6,6333498163.2,6331695923.2,6327455744.0,6333189324.8,6337400012.8,6337166540.8,6142468096.0,6177729740.8,6176327270.4,6178584166.4,6175069798.4,6163002982.4,6182677708.8,6182680985.6,6176697548.8,6168071372.8,6206845747.2,6168072192.0,6167967334.4,6172761292.8,6178266316.8,6165621145.6
2017-07-03 15:50:00,6179622912.0,6173887692.8,6183967948.8,6171543142.4,6166468198.4,6173021798.4,6166862233.6,6180969676.8,6165176320.0,6179979264.0,6333881548.8,6331777843.2,6327430348.8,6333231923.2,6337348403.2,6337341030.4,6142170726.4,6177778073.6,6176355123.2,6177763328.0,6175072256.0,6162933350.4,6182395904.0,6182830080.0,6176475545.6,6167888691.2,6179152691.2,6168308940.8,6167709286.4,6172841574.4,6177850163.2,6165408972.8
2017-07-03 15:55:00,6179965337.6,6173816422.4,6183847526.4,6171317043.2,6166335488.0,6172659712.0,6166783590.4,6180891852.8,6165261516.8,6179504128.0,6333842227.2,6331735244.8,6327399219.2,6332859187.2,6337157529.6,6337041203.2,6142191206.4,6177513472.0,6176301056.0,6178178662.4,6175137792.0,6162793267.2,6182546636.8,6182982451.2,6176542720.0,6167738777.6,6178729984.0,6168235212.8,6167863296.0,6172778496.0,6177687142.4,6165324595.2
2017-07-03 16:00:00,6180387225.6,6173733683.2,6184092467.2,6171838873.6,6166568140.8,6173371596.8,6167302963.2,6181586534.4,6165917696.0,6180779622.4,6334148608.0,6331917107.2,6327853875.2,6333433446.4,6337459814.4,6337752268.8,6142563942.4,6178499788.8,6176671334.4,6178861056.0,6175403212.8,6163748454.4,6183034880.0,6182981632.0,6176979353.6,6168590745.6,6180008755.2,6168714444.8,6168333516.8,6173029171.2,6178299084.8,6166255206.4
2017-07-03 16:05:00,6179990732.8,6173484646.4,6184221081.6,6171543142.4,6166661529.6,6172816179.2,6166730342.4,6181174476.8,6165441740.8,6180647731.2,6333852876.8,6331698380.8,6327385292.8,6333155737.6,6337336115.2,6337019084.8,6142390272.0,6177898496.0,6176170803.2,6178435891.2,6174930534.4,6162966937.6,6183010304.0,6182828441.6,6176415744.0,6168212275.2,6178765209.6,6168159846.4,6168276172.8,6172645785.6,6177858355.2,6165726822.4
2017-07-03 16:10:00,6180114432.0,6173307699.2,6184353792.0,6171586560.0,6166644326.4,6172703129.6,6166824550.4,6180900044.8,6165300019.2,6180588748.8,6333979033.6,6331724595.2,6327539302.4,6333005004.8,6337411481.6,6337138688.0,6142361600.0,6177599488.0,6176216678.4,6178240102.4,6175153356.8,6162935808.0,6183071744.0,6183005388.8,6176411648.0,6168027955.2,6179142041.6,6168076288.0,6168263884.8,6172635136.0,6178028748.8,6165617868.8
2017-07-03 16:15:00,6180315955.2,6173476454.4,6184806809.6,6170887782.4,6166944972.8,6172556492.8,6166920396.8,6181126963.2,6165371289.6,6181125324.8,6333675929.6,6331553382.4,6327615488.0,6332745318.4,6336946995.2,6337044480.0,6142090444.8,6177799372.8,6176269926.4,6178734899.2,6174692147.2,6162724454.4,6182763724.8,6182728499.2,6176633651.2,6168501452.8,6207216844.8,6167947673.6,6168004198.4,6172776038.4,6178158182.4,6165619507.2
2017-07-03 16:20:00,6180188979.2,6173317529.6,6184633139.2,6171325235.2,6166922854.4,6172585164.8,6167103078.4,6181149081.6,6165411430.4,6180956569.6,6333818470.4,6331929395.2,6328038195.2,6333211443.2,6337006796.8,6337064140.8,6142404198.4,6177885388.8,6176251904.0,6178576793.6,6174960025.6,6163030835.2,6182427033.6,6183147929.6,6176686080.0,6168676761.6,6179367321.6,6168059084.8,6167810867.2,6172745728.0,6177943552.0,6165578547.2
