,c6913,c6631,c6630,c6628,c7124,c7120,c7119,c7121,c7122,c7123,c7116
2017-07-15 11:20:00,66.75,70.5,69.5,66.5,60.75,62.5,64.8,66.75,63.75,65.25,64.2
2017-07-15 11:25:00,66.75,70.0,68.75,66.0,60.2,62.2,64.25,66.6,64.0,65.6,63.75
2017-07-15 11:30:00,66.5,70.0,68.75,66.75,60.5,62.0,64.5,66.5,64.0,65.0,64.0
2017-07-15 11:35:00,66.75,70.0,68.25,66.5,60.75,63.0,65.25,66.75,64.25,65.5,65.25
2017-07-15 11:40:00,67.0,69.5,68.25,65.75,60.5,62.5,64.75,66.25,63.75,65.25,64.25
2017-07-15 11:45:00,66.25,70.25,68.5,66.0,60.0,62.5,64.25,66.5,63.75,65.75,64.0
2017-07-15 11:50:00,67.0,70.4,68.6,66.4,60.25,62.0,64.5,66.0,63.5,65.25,64.0
2017-07-15 11:55:00,66.25,69.0,68.0,66.75,60.0,62.0,64.0,66.25,63.25,64.75,63.75
2017-07-15 12:00:00,67.0,69.25,67.75,66.0,60.8,62.4,64.6,66.0,63.8,65.8,64.0
2017-07-15 12:05:00,66.5,70.0,69.25,66.75,60.75,62.75,65.0,66.5,64.0,65.5,64.25
2017-07-15 12:10:00,67.0,70.0,68.5,66.75,60.25,62.25,65.0,67.0,64.0,65.75,64.75
2017-07-15 12:15:00,66.75,69.25,67.75,65.75,60.0,61.75,64.5,66.25,63.25,65.25,64.25
2017-07-15 12:20:00,66.75,70.5,68.25,66.25,60.5,63.0,65.0,66.75,64.0,66.0,65.0
2017-07-15 12:25:00,66.5,69.8,68.6,66.2,60.5,62.25,64.5,66.5,64.0,65.25,65.0
2017-07-15 12:30:00,65.6,70.25,69.0,66.0,60.75,62.75,64.5,66.25,63.75,65.75,64.25
2017-07-15 12:35:00,65.75,70.0,68.0,65.5,60.5,62.5,64.5,66.5,64.25,66.0,64.5
2017-07-15 12:40:00,67.0,70.5,68.75,66.75,60.2,62.0,64.6,66.0,64.6,65.6,64.6
2017-07-15 12:45:00,66.25,70.25,68.25,66.75,60.5,62.25,64.75,66.5,63.75,65.25,64.75
2017-07-15 12:50:00,66.75,68.5,67.0,65.75,60.25,62.25,64.5,66.5,63.75,64.5,64.25
2017-07-15 12:55:00,66.0,70.5,68.75,66.25,60.25,61.25,63.75,65.5,63.5,64.25,63.5
2017-07-15 13:00:00,66.75,70.0,68.25,66.25,60.25,62.5,64.5,66.75,64.25,65.0,64.5
2017-07-15 13:05:00,66.5,69.5,67.75,65.5,60.25,62.25,64.5,65.5,63.75,65.25,64.25
2017-07-15 13:10:00,66.75,69.75,68.25,66.5,60.5,61.75,64.75,65.75,64.0,65.75,65.0
2017-07-15 13:15:00,66.6,70.2,67.6,65.2,60.25,62.25,65.5,67.0,64.5,65.25,64.75
2017-07-15 13:20:00,66.25,70.0,68.75,66.5,59.75,61.75,64.25,66.25,63.5,65.25,63.75
2017-07-15 13:25:00,66.5,69.25,68.25,65.75,60.0,62.2,65.2,66.0,64.0,65.4,64.8
2017-07-15 13:30:00,66.0,69.0,68.75,65.25,60.75,62.75,64.5,66.5,64.5,66.0,64.75
2017-07-15 13:35:00,66.75,69.5,67.25,65.25,60.25,62.0,64.25,66.25,63.75,64.75,64.0
2017-07-15 13:40:00,66.5,70.5,67.75,67.0,60.25,61.75,64.0,65.75,63.5,64.75,63.75
2017-07-15 13:45:00,66.25,69.5,67.75,65.75,60.25,62.0,64.5,66.75,64.0,65.25,64.75
2017-07-15 13:50:00,66.25,69.5,67.5,66.25,60.0,61.5,63.75,65.75,63.5,64.25,63.75
2017-07-15 13:55:00,66.2,70.2,68.2,66.6,60.25,62.0,64.5,65.75,63.75,65.0,64.0
2017-07-15 14:00:00,66.5,68.75,68.75,66.75,60.0,61.75,63.75,66.0,63.75,64.75,63.25
2017-07-15 14:05:00,66.5,69.5,68.5,66.0,60.2,61.4,63.8,66.2,62.8,65.0,63.8
2017-07-15 14:10:00,66.25,69.75,69.0,66.25,59.75,61.0,63.0,65.5,62.75,64.75,62.5
2017-07-15 14:15:00,66.5,69.75,68.5,65.75,60.0,62.25,64.25,66.75,64.0,65.0,63.75
2017-07-15 14:20:00,66.0,69.0,67.25,65.25,60.0,61.5,64.25,65.75,64.0,65.0,63.5
2017-07-15 14:25:00,66.0,69.25,68.0,65.75,59.75,62.0,63.75,66.0,63.75,64.75,63.75
2017-07-15 14:30:00,66.0,70.0,68.5,66.25,59.75,61.5,64.0,65.5,63.5,64.0,63.75
2017-07-15 14:35:00,66.0,70.2,69.2,67.0,60.25,61.25,64.0,65.0,63.25,64.75,63.25
2017-07-15 14:40:00,65.75,68.75,67.75,66.75,59.75,61.25,63.25,65.25,63.5,64.5,64.0
2017-07-15 14:45:00,66.75,70.25,68.0,65.5,59.8,61.8,64.4,65.6,63.4,64.8,64.6
2017-07-15 14:50:00,66.75,69.0,67.75,65.25,60.0,62.75,65.25,66.5,63.75,65.5,65.0
2017-07-15 14:55:00,67.25,70.0,68.75,66.25,60.5,62.25,64.75,66.0,64.5,66.0,65.0
2017-07-15 15:00:00,66.5,70.0,68.5,66.5,60.5,62.0,64.5,66.25,64.25,65.25,64.75
2017-07-15 15:05:00,65.75,69.75,68.0,65.75,60.0,61.25,64.5,65.75,63.75,64.75,63.75
2017-07-15 15:10:00,66.25,70.5,68.0,67.25,60.0,62.25,64.25,65.5,64.0,65.5,64.75
2017-07-15 15:15:00,66.0,69.2,67.8,65.4,59.75,62.0,64.25,65.5,63.75,65.0,64.25
2017-07-15 15:20:00,66.5,70.25,69.0,66.5,60.0,62.0,64.0,66.0,63.75,65.0,64.25
2017-07-15 15:25:00,66.0,70.25,68.75,65.5,60.0,62.6,64.8,66.6,64.0,65.2,64.6
2017-07-15 15:30:00,66.25,69.75,68.75,66.25,60.0,62.25,64.5,66.0,64.0,65.5,64.75
2017-07-15 15:35:00,65.5,69.75,68.0,65.75,60.0,62.25,64.5,65.25,64.0,64.5,63.75
2017-07-15 15:40:00,66.0,69.75,68.0,65.25,60.0,61.75,64.25,66.5,64.0,65.5,63.75
2017-07-15 15:45:00,66.5,69.25,67.75,66.0,60.25,62.5,65.0,67.0,64.5,66.0,64.5
2017-07-15 15:50:00,67.5,70.25,68.75,66.5,60.75,62.5,65.5,66.75,65.25,65.75,64.25
2017-07-15 15:55:00,66.5,70.2,68.4,66.6,60.5,62.25,64.25,66.0,64.0,65.75,64.5
2017-07-15 16:00:00,66.8,70.5,69.25,66.5,60.25,62.5,64.25,66.0,64.0,65.25,63.75
2017-07-15 16:05:00,66.0,70.0,68.75,66.0,60.6,62.4,64.8,67.0,64.4,65.8,64.2
2017-07-15 16:10:00,66.5,69.5,68.0,65.75,60.0,61.5,64.0,65.5,63.75,65.0,63.5
2017-07-15 16:15:00,66.5,70.0,68.25,66.25,59.75,61.5,63.75,65.75,63.25,64.75,64.25
2017-07-15 16:20:00,66.25,69.75,68.0,66.25,60.0,61.75,64.0,66.0,63.0,64.75,63.75
2017-07-15 16:25:00,66.25,71.0,69.5,66.0,60.75,62.25,64.75,66.25,64.25,65.75,65.0
2017-07-15 16:30:00,66.5,70.0,69.5,65.5,60.75,62.25,65.25,66.25,64.0,65.5,64.75
2017-07-15 16:35:00,66.5,70.75,69.0,66.25,60.5,62.25,65.5,66.25,64.0,65.75,64.0
2017-07-15 16:40:00,66.8,70.0,69.4,66.4,60.75,62.0,64.5,66.75,64.25,65.5,64.5
2017-07-15 16:45:00,66.75,70.5,69.25,66.5,60.0,61.25,64.25,66.25,63.25,64.75,63.25
2017-07-15 16:50:00,67.0,70.25,68.5,65.75,60.6,62.2,64.4,66.4,64.0,65.8,64.2
2017-07-15 16:55:00,66.25,70.5,68.25,65.75,60.5,62.5,64.5,67.0,63.75,65.25,64.5
2017-07-15 17:00:00,66.75,69.75,68.75,66.5,60.5,62.25,64.25,66.25,63.75,65.25,64.5
2017-07-15 17:05:00,66.75,69.5,68.75,66.5,60.75,62.5,66.0,66.25,64.0,65.75,64.5
2017-07-15 17:10:00,66.75,70.0,69.25,66.75,60.5,62.5,65.5,66.5,64.25,65.5,65.75
2017-07-15 17:15:00,66.25,70.25,69.25,67.0,60.5,61.75,64.5,66.5,63.5,65.0,64.0
2017-07-15 17:20:00,67.5,69.8,68.8,66.2,60.75,61.75,64.5,65.75,64.0,65.75,63.75
2017-07-15 17:25:00,66.8,69.0,68.0,65.5,60.5,61.75,64.5,66.25,63.75,66.0,64.5
2017-07-15 17:30:00,66.75,70.0,69.75,66.5,60.0,62.0,64.4,66.4,63.8,65.2,64.4
2017-07-15 17:35:00,66.75,69.75,68.5,66.0,60.25,62.0,64.25,66.0,63.75,64.75,64.25
2017-07-15 17:40:00,65.75,69.75,68.25,66.5,59.75,61.25,64.0,65.75,63.75,64.75,62.75
2017-07-15 17:45:00,66.75,69.25,67.5,65.75,59.75,61.5,63.75,65.75,63.75,65.0,63.0
2017-07-15 17:50:00,66.75,69.5,69.0,66.0,59.5,61.5,63.5,65.75,63.5,64.25,63.25
2017-07-15 17:55:00,66.5,69.5,68.5,66.0,60.0,61.5,64.0,65.5,63.25,64.25,62.75
2017-07-15 18:00:00,66.25,69.2,68.2,66.2,60.0,61.75,64.0,66.0,63.5,64.5,64.0
2017-07-15 18:05:00,66.2,69.75,69.0,66.5,60.5,61.75,64.0,66.0,63.5,65.5,63.5
2017-07-15 18:10:00,66.25,70.5,69.5,67.0,60.2,61.2,64.2,65.8,63.4,65.4,64.0
2017-07-15 18:15:00,66.0,69.5,69.0,67.0,59.75,61.75,64.0,65.75,63.5,65.25,63.25
2017-07-15 18:20:00,66.25,70.5,69.75,67.0,60.0,61.5,64.25,66.0,63.75,65.25,63.75
2017-07-15 18:25:00,66.0,69.5,68.5,65.75,60.0,61.5,64.5,66.5,63.5,65.0,64.0
2017-07-15 18:30:00,65.5,69.25,68.0,66.0,60.0,61.75,64.0,65.75,63.5,65.5,64.25
2017-07-15 18:35:00,65.75,70.5,69.25,66.75,60.0,61.25,64.0,66.5,63.75,65.5,63.5
2017-07-15 18:40:00,65.75,69.25,68.0,65.5,60.5,61.5,64.25,66.25,63.5,65.25,63.0
2017-07-15 18:45:00,66.0,70.0,68.8,66.6,60.25,61.25,64.25,66.25,63.5,65.0,63.5
2017-07-15 18:50:00,65.6,69.75,68.75,66.0,60.0,61.25,63.75,66.0,63.5,65.25,64.25
2017-07-15 18:55:00,65.75,70.5,69.0,66.25,60.25,61.5,63.6,65.75,63.25,64.5,63.0
2017-07-15 19:00:00,66.25,69.75,68.5,65.75,60.6,62.2,64.75,66.6,63.6,65.6,64.25
2017-07-15 19:05:00,67.0,69.5,68.75,66.0,60.75,61.5,63.75,65.75,63.5,65.75,63.5
